Date,WellID,Oil_bbl,Gas_mcf,Water_bbl
2024-01-01,W001,182,423,119
2024-01-01,W002,186,438,87
2024-01-01,W003,151,376,139
2024-01-01,W004,268,978,56
2024-01-01,W005,100,1052,91
2024-01-01,W006,182,481,146
2024-01-02,W001,201,262,125
2024-01-02,W002,294,416,111
2024-01-02,W003,167,1053,50
2024-01-02,W004,179,1026,141
2024-01-02,W005,231,994,70
2024-01-02,W006,210,888,48
2024-01-03,W001,229,660,59
2024-01-03,W002,337,1128,60
2024-01-03,W003,271,809,30
2024-01-03,W004,240,304,20
2024-01-03,W005,101,298,65
2024-01-03,W006,332,710,120
2024-01-04,W001,315,584,109
2024-01-04,W002,128,604,129
2024-01-04,W003,138,1022,76
2024-01-04,W004,249,717,20
2024-01-04,W005,267,675,82
2024-01-04,W006,269,1176,74
2024-01-05,W001,254,908,134
2024-01-05,W002,130,1062,72
2024-01-05,W003,134,844,76
2024-01-05,W004,323,1069,136
2024-01-05,W005,210,970,54
2024-01-05,W006,214,636,82
2024-01-06,W001,100,222,44
2024-01-06,W002,246,1196,109
2024-01-06,W003,168,764,94
2024-01-06,W004,93,876,57
2024-01-06,W005,321,913,149
2024-01-06,W006,344,657,110
2024-01-07,W001,132,282,36
2024-01-07,W002,171,344,147
2024-01-07,W003,343,284,127
2024-01-07,W004,114,277,44
2024-01-07,W005,285,656,107
2024-01-07,W006,160,1077,48
2024-01-08,W001,129,200,82
2024-01-08,W002,81,250,133
2024-01-08,W003,133,884,68
2024-01-08,W004,185,916,100
2024-01-08,W005,339,971,103
2024-01-08,W006,270,645,124
2024-01-09,W001,297,648,137
2024-01-09,W002,123,1080,105
2024-01-09,W003,241,687,82
2024-01-09,W004,281,999,123
2024-01-09,W005,349,233,68
2024-01-09,W006,294,547,90
2024-01-10,W001,331,294,20
2024-01-10,W002,269,271,142
2024-01-10,W003,292,750,81
2024-01-10,W004,287,353,51
2024-01-10,W005,316,449,48
2024-01-10,W006,132,873,68
2024-01-11,W001,296,637,49
2024-01-11,W002,331,317,38
2024-01-11,W003,267,970,37
2024-01-11,W004,120,1090,20
2024-01-11,W005,236,505,97
2024-01-11,W006,94,467,134
2024-01-12,W001,144,1160,132
2024-01-12,W002,88,253,133
2024-01-12,W003,208,435,82
2024-01-12,W004,215,588,148
2024-01-12,W005,142,1189,27
2024-01-12,W006,218,933,74
2024-01-13,W001,160,962,122
2024-01-13,W002,242,1024,51
2024-01-13,W003,340,600,29
2024-01-13,W004,310,823,129
2024-01-13,W005,120,966,143
2024-01-13,W006,107,502,106
2024-01-14,W001,214,1118,74
2024-01-14,W002,280,406,51
2024-01-14,W003,347,428,112
